"","x"
"1",7211.06711703849
"2",7203.39017616703
"3",7163.2079028832
"4",7270.47363239669
"5",7550.46035421829
"6",7673.89933244353
"7",7873.42326490827
"8",7725.21784789197
"9",7551.01930286493
"10",7619.13783658267
"11",7695.9471592684
"12",7660.8226541713
"13",7794.57716874088
"14",7890.79570383637
"15",7862.72989707763
"16",7911.01145992277
"17",8302.34562887934
"18",8452.87324580144
"19",8564.02165169683
"20",8326.87143654685
"21",8219.31854674079
"22",8140.09540874753
"23",8347.83167539148
"24",8376.13324318508
"25",8613.52236466959
"26",8523.2156433671
"27",8662.82712119783
"28",8561.29456454093
"29",8863.61418737136
"30",8985.084534216
"31",9081.53971388226
"32",8899.79802281392
"33",8689.72920446761
"34",8624.68819688516
"35",8897.8576434695
"36",8964.85327402525
"37",9202.23024601593
"38",9268.09657916327
"39",9314.82688991849
"40",9377.67687138392
"41",9597.9416683806
"42",9740.37576132322
"43",9752.90179435026
"44",9457.45240968327
"45",9296.83181354102
"46",9380.91715123612
"47",9654.70125676225
"48",9874.10597978114
"49",10078.5148721855
"50",10051.7594207491
"51",10021.9565930281
"52",10164.4016972834
"53",10450.8475475856
"54",10466.8207196709
"55",10642.5379998246
"56",10369.2731570542
"57",10168.5814111267
"58",10124.8273623895
"59",10311.6465509327
"60",10518.9384807182
"61",10789.3950368276
"62",10800.7221127233
"63",10815.5243537913
"64",10888.4906116245
"65",11140.7140004399
"66",11151.4891494743
"67",11103.4996820968
"68",10699.7380171177
"69",10768.4905425382
"70",10744.9717187856
"71",11024.08731823
"72",11049.2048841176
"73",11383.6745530426
"74",11398.011590703
"75",11384.7873614588
"76",11405.0181503185
"77",11746.3828267893
"78",11624.1322829188
"79",11661.5959605889
"80",11384.5851982981
"81",11282.1615547551
"82",11208.0207906716
"83",11508.4302356814
"84",11512.9075148658
"85",11878.5363509754
"86",11959.0305651585
"87",11944.2119888857
"88",11919.836150977
"89",12161.7294642712
"90",11986.9661551739
"91",11976.0960470526
"92",11630.7425829887
"93",11676.3047758443
"94",11542.6856710687
"95",11845.6085513687
"96",11918.1475968136
"97",12171.5575844633
"98",12191.0948319378
"99",12225.5754631448
"100",12143.0921835288
"101",12583.6859884556
"102",12368.5442468947
"103",12339.3050389811
"104",11939.3365981606
"105",11909.9918152362
"106",11861.8644853332
"107",12012.804199937
"108",12042.8427510241
"109",12349.4401145281
"110",12277.7195958696
"111",12262.2471844475
"112",12297.1280800126
"113",12661.8504740456
"114",12457.2462547746
"115",12423.6972866828
"116",11956.2229914242
"117",11995.9546237564
"118",11993.0702975623
"119",12063.6720740496
"120",12016.4702926339
"121",12284.5952266337
"122",12199.0874486883
"123",12214.1969648005
"124",12203.010499995
"125",12584.9338030081
"126",12345.1390391699
"127",12246.1775383553
"128",11801.6712252469
"129",11733.7141246861
"130",11654.2441344702
"131",11843.9738645948
"132",11807.2696159685
"133",12000.2966926678
"134",12041.9391643743
"135",11839.4866024542
"136",11979.7024566958
"137",12370.8554739368
"138",12217.8140069265
"139",11932.1483333115
"140",11581.3371634585
"141",11629.1750033231
"142",11584.0109480454
"143",11609.3932124288
"144",11741.0028789475
"145",12177.8227813298
"146",12107.3706238105
"147",11927.1507186629
"148",12043.371643821
"149",12384.9804851102
"150",12295.9518396527
"151",12056.6306053097
"152",11717.2174568772
"153",11643.1972868556
"154",11724.8250319177
"155",11741.1020341901
"156",11911.5998620906
"157",12372.2298203585
"158",12401.8845627698
"159",12259.8339996233
"160",12588.917175109
"161",12770.4710561531
"162",12457.0206109012
"163",12381.4152692805
"164",12002.3626917916
"165",12036.7946631117
"166",12198.4329253822
"167",12147.2760808043
"168",12414.4165791452
"169",12866.4040401447
"170",13029.3231345282
"171",12934.4179486028
"172",13114.389925744
"173",13446.8123146974
"174",13239.6771771832
"175",12975.8298306147
"176",12801.1711247966
"177",12885.8420713871
"178",13036.336001202
"179",13133.3434334188
"180",13323.334895199
