"","x"
"1",5244.330756789
"2",5084.36029567287
"3",4598.00398761743
"4",4473.62640005985
"5",4691.64639706594
"6",5063.59570288386
"7",5314.68036280591
"8",5154.62712518179
"9",5077.35127588214
"10",5143.64328109423
"11",5145.16268945598
"12",5070.41815047302
"13",5175.51964204382
"14",4930.34192513633
"15",4457.94802980873
"16",4272.08829827766
"17",4602.76021908714
"18",4853.30925542609
"19",5033.51548978748
"20",5328.69217910132
"21",5292.71795268878
"22",5338.2869763919
"23",5514.85685671226
"24",5137.70788481666
"25",5222.63912227746
"26",4880.52778116621
"27",4398.45789642713
"28",4105.39151223741
"29",4185.35555301433
"30",4814.77992905525
"31",5055.1523019484
"32",5311.70048222713
"33",5322.75432327022
"34",5257.51921220569
"35",5171.07833330209
"36",5004.32989780395
"37",4785.93712189465
"38",4620.24795730972
"39",4247.55488865716
"40",3971.32124444285
"41",4270.56853331294
"42",4736.56259073969
"43",4914.9747226817
"44",5123.10591240546
"45",5024.8274081684
"46",5175.55933260068
"47",5036.51968582991
"48",4786.806515855
"49",4621.08116529561
"50",4493.92099913276
"51",3953.44503050172
"52",3514.50839639429
"53",3945.54054928382
"54",4440.57417456818
"55",4865.37135038539
"56",4775.54651589748
"57",4858.70833710368
"58",5101.94986674493
"59",4754.39231126901
"60",4420.08545035642
"61",4558.79644084957
"62",4405.28441795188
"63",3779.11452224256
"64",3703.15252587368
"65",3964.25303265722
"66",4482.28380637278
"67",4747.50388284609
"68",5007.15764461161
"69",5008.77786324066
"70",5253.68531399932
"71",5114.33619794545
"72",4781.86005858282
"73",4667.01953124423
"74",4452.86780079486
"75",4027.87132820023
"76",3745.64227826974
"77",4100.96158962829
"78",4429.67760550132
"79",4874.69551432441
"80",4776.29406909993
"81",4922.95519960507
"82",4975.19537303425
"83",4896.81866881892
"84",4675.97521767688
"85",4519.2397144155
"86",4512.27177694396
"87",4002.68260252656
"88",3454.42578637339
"89",3665.2124548904
"90",4294.26668811803
"91",4393.78047770421
"92",4603.83802375578
"93",4405.23298523014
"94",4510.28345615486
"95",4553.60338327431
"96",4514.39447556009
"97",4351.22032336081
"98",4049.64095759667
"99",3571.5668492246
"100",3048.49307248385
"101",3373.65340057828
"102",3949.2462288176
"103",3997.30155846564
"104",3927.99604572001
"105",4074.72518119373
"106",4008.87548574693
"107",4140.19148802984
"108",3889.62681891434
"109",3727.76613848015
"110",3800.20027474288
"111",3171.29419157579
"112",2556.18419500546
"113",2768.44373528211
"114",3136.99450762459
"115",3519.53320333763
"116",3594.65085015158
"117",3484.68839861551
"118",3567.84002663406
"119",3658.72235134585
"120",3459.19511421309
"121",3432.29920357616
"122",3428.75727399178
"123",2691.42670571365
"124",2287.42366263965
"125",2482.11039877738
"126",2929.28197733751
"127",3311.41741638866
"128",3303.08924754684
"129",3191.88153006394
"130",3281.44601678708
"131",3472.11692906399
"132",3088.66609542501
"133",3225.06992938387
"134",3287.96142874227
"135",2758.12748964505
"136",2006.44778899879
"137",1951.75772857199
"138",2405.59914639456
"139",2884.21235370413
"140",2962.88280014146
"141",2911.11925758695
"142",2906.85897937976
"143",2949.71351520613
"144",2579.18282906474
"145",2697.42470769868
"146",2853.40234583516
"147",2102.76273047047
"148",1551.610483509
"149",1591.08533635127
"150",2244.99832287266
"151",2399.69150847846
"152",2596.33193174717
"153",2580.71484539799
"154",2397.63362282324
"155",2827.06623466669
"156",2406.72247442107
"157",2434.04232217541
"158",2219.11998401471
"159",1702.18028996626
"160",1372.22705535268
"161",1406.83889858687
"162",1679.60073336577
"163",2397.20466225508
"164",2229.68162641129
"165",2437.08054380536
"166",2216.55256173565
"167",2446.16851172864
"168",2094.34133487582
"169",2213.77483492561
"170",2019.9327785719
"171",1368.83764019627
"172",1058.8863976839
"173",1104.2016500494
"174",1690.20776748834
"175",2148.52006292631
"176",2005.27144869523
"177",2264.63830636488
"178",1901.57795244925
"179",2144.98667959377
"180",1889.2266067642
