"","x"
"1",6731.72172289884
"2",6877.066579141
"3",6926.83699453219
"4",6709.94114709553
"5",6850.30704828398
"6",6835.75904598194
"7",6818.66112326328
"8",6653.62707261056
"9",6447.72067939169
"10",6501.06161896653
"11",6354.4556555419
"12",6521.85214033829
"13",6638.57256735629
"14",6924.14712355143
"15",6790.09845573737
"16",6692.63701216553
"17",6725.93352576056
"18",6856.1688928434
"19",6663.0289908778
"20",6424.48492159047
"21",6333.15035055561
"22",6283.70439416164
"23",6192.37530061242
"24",6204.62204599997
"25",6284.42980703188
"26",6529.26078228146
"27",6418.2249521422
"28",6296.27427642279
"29",6313.97005703016
"30",6528.52848061335
"31",6406.19950747539
"32",6084.24527792826
"33",5915.39907756052
"34",5678.77360059509
"35",5682.90405715956
"36",5934.90418566861
"37",5967.4550112507
"38",6194.54844811305
"39",5993.3346163048
"40",6035.36228117348
"41",6101.98881282303
"42",6265.07584706017
"43",6197.87636182553
"44",6013.59025825233
"45",5800.99959288995
"46",5625.85427300704
"47",5546.30496992931
"48",5768.94390565801
"49",5953.91150430744
"50",6184.27966434556
"51",6075.41041601558
"52",5984.29119578612
"53",6127.54383810843
"54",6165.24054189733
"55",6150.3403164074
"56",5954.75932143911
"57",5708.89848659753
"58",5627.94980286433
"59",5439.89303730401
"60",5657.27143655968
"61",5912.27102627511
"62",6107.93141355711
"63",6073.29923120927
"64",5968.64842332566
"65",6122.93040136946
"66",6222.22525109475
"67",6263.10545036398
"68",6131.46446313349
"69",5995.62270716079
"70",5934.66950812492
"71",5768.12666330375
"72",5845.28113642092
"73",6088.12877551159
"74",6323.10749288226
"75",6309.80311293116
"76",6332.29826678586
"77",6413.96055265866
"78",6621.21970370284
"79",6645.10133537776
"80",6466.33800676364
"81",6354.73198004597
"82",6174.51380491514
"83",6052.58592603051
"84",6310.76632435474
"85",6362.90075053598
"86",6845.01286856067
"87",6650.24116258406
"88",6635.57853384716
"89",6833.727238583
"90",7039.88367069329
"91",6969.23180435994
"92",6687.62675996252
"93",6620.8175381932
"94",6646.82301873007
"95",6596.77037645206
"96",6769.6322026343
"97",7007.7996291241
"98",7292.52706111876
"99",7160.4910669089
"100",7273.1886927547
"101",7360.92551130537
"102",7372.79551451447
"103",7516.63840411344
"104",7313.22657826266
"105",7249.50401258046
"106",7229.84077415583
"107",7213.82043991038
"108",7318.61796697472
"109",7476.26771734404
"110",7835.81735251104
"111",7634.78811870651
"112",7768.32768207749
"113",7868.40404490335
"114",7995.83006460619
"115",8064.57230436709
"116",7837.84593858198
"117",7785.84716239062
"118",7759.33098779768
"119",7737.36046362265
"120",7898.40781200058
"121",8117.03599763412
"122",8373.67272119524
"123",8300.83050824266
"124",8518.94942472322
"125",8483.19583186663
"126",8575.02799706114
"127",8686.07578687574
"128",8439.91752646915
"129",8473.24310008903
"130",8367.46047057719
"131",8212.07865677754
"132",8417.43354668099
"133",8674.34039462447
"134",9013.69027729459
"135",9055.79950828678
"136",9225.10456742735
"137",9348.37417430039
"138",9502.51715200656
"139",9442.38089054983
"140",9376.33022494456
"141",9257.71194751875
"142",9125.26929300951
"143",8975.45005960363
"144",9261.39548416116
"145",9537.25303086283
"146",9837.91226576468
"147",9887.90938560235
"148",9929.34073286145
"149",10225.3532053143
"150",10278.4587687062
"151",10395.9417407493
"152",10194.4747385184
"153",10117.7372499991
"154",9968.73309262935
"155",9952.57518442301
"156",10126.0161693816
"157",10316.8186116531
"158",10651.9757279276
"159",10625.5300512799
"160",10742.3887713212
"161",10971.6296832531
"162",11180.1723662755
"163",11443.5843458475
"164",11285.0236648272
"165",11089.3492157634
"166",10989.920372052
"167",10907.0337879193
"168",11158.3697187869
"169",11242.2849179691
"170",11473.3478785395
"171",11581.7699121001
"172",11709.8629872256
"173",11939.3440830649
"174",12124.6991920439
"175",12221.136893592
"176",12230.1261755979
"177",12056.6111662872
"178",11836.3322162479
"179",11881.0150746653
"180",11937.8637123338
