"","x"
"1",2349.42708475399
"2",2373.46993622807
"3",2407.08075553941
"4",2341.23657120524
"5",2352.66817753456
"6",2146.95606820657
"7",1828.41421246799
"8",1683.92047114196
"9",1632.78754178413
"10",1661.9168580062
"11",2018.31396373418
"12",2032.64250575561
"13",2331.14327204688
"14",2377.52009348554
"15",2489.6263052462
"16",2432.28920909481
"17",2307.50021082048
"18",2190.9680914811
"19",1963.06526977049
"20",1900.39592215096
"21",1668.51870453692
"22",1776.53577935865
"23",2031.75149505349
"24",2117.56227748061
"25",2421.36749449714
"26",2338.13211229242
"27",2640.96713855042
"28",2577.1725071329
"29",2380.61816773711
"30",2257.19892192882
"31",1957.33790797367
"32",2035.04895456029
"33",1676.1222988938
"34",1926.97230249248
"35",1930.1095370481
"36",2294.99598207951
"37",2442.91552713135
"38",2791.35883005579
"39",2731.46686253397
"40",2839.53489134929
"41",2423.94854739183
"42",2251.52804557952
"43",1998.95581662286
"44",2148.95064389552
"45",2234.12014371682
"46",2031.07719891099
"47",2231.90508316995
"48",2462.24286505882
"49",2768.84041795133
"50",2900.52429267831
"51",3275.65303756598
"52",3022.13997148436
"53",2907.51179613633
"54",2689.41066390323
"55",2647.63226808118
"56",2356.45838126755
"57",2475.44933417561
"58",2479.2065597923
"59",2858.72114066576
"60",3055.73035044748
"61",3042.77154311389
"62",3612.88262635516
"63",3784.07826813536
"64",3652.7915357341
"65",3654.91350491712
"66",3594.91662108702
"67",3301.98777921964
"68",3319.11748834153
"69",3272.01835517348
"70",3050.87488328083
"71",3113.62820696046
"72",3594.97981332591
"73",3916.72911236757
"74",4144.47607227891
"75",4539.16868273688
"76",4352.78641646134
"77",4431.74096268598
"78",4365.56914538226
"79",4025.93588167409
"80",3754.68568190386
"81",3712.05024568271
"82",3680.90409433193
"83",3837.2488923221
"84",4310.23484477107
"85",4582.75080478578
"86",4898.42284567581
"87",4931.37415981195
"88",4949.01331211851
"89",4658.1011567704
"90",4751.01653613107
"91",4451.43271503641
"92",4366.62516041137
"93",4469.83757426869
"94",4186.88187219808
"95",4727.32274496976
"96",4981.35930485537
"97",5061.19472587982
"98",5380.11124683754
"99",5807.61326181724
"100",5673.83391814628
"101",5530.83957559759
"102",5558.46921462759
"103",5246.63454768365
"104",4895.07512557388
"105",4935.41123343097
"106",4926.67565676538
"107",5208.71870055428
"108",5389.96322320751
"109",5743.21633585241
"110",6101.06261086772
"111",6329.74942534373
"112",6083.7679728744
"113",6038.50166434937
"114",6184.35004435792
"115",5919.56263019373
"116",5740.75512483645
"117",5442.20181897666
"118",5518.28043859679
"119",5665.52985357661
"120",6031.24333918888
"121",6493.22783549358
"122",6529.61122846585
"123",6941.09337066596
"124",7076.23109648214
"125",6810.9801980615
"126",6623.6322614989
"127",6529.10935034129
"128",6410.46865217255
"129",6067.87629074989
"130",6127.68570858746
"131",6375.66529488508
"132",6677.80719117994
"133",7142.77762253781
"134",7229.50026217027
"135",7602.130867608
"136",7432.24551121584
"137",7228.07266379137
"138",7214.92252631048
"139",7181.04087958152
"140",6676.58074578723
"141",6540.38778281936
"142",6658.73590580926
"143",6773.57204651852
"144",6977.12556688358
"145",7454.9450445825
"146",7589.18020105041
"147",7729.6329937048
"148",7656.48287737064
"149",7573.27789328646
"150",7745.59815158181
"151",7541.39805234832
"152",6954.11745248557
"153",6852.31546721568
"154",6837.12249783836
"155",7181.78727138764
"156",7097.05904110548
"157",7282.75374395127
"158",7748.00950113353
"159",8088.71528074695
"160",8076.35815488275
"161",7594.34865934979
"162",7688.88964341568
"163",7490.01608022618
"164",7268.44323366227
"165",7057.94959402017
"166",6960.82799080763
"167",7230.36942038692
"168",7309.64513258014
"169",7617.18825337436
"170",7837.75408357502
"171",8386.44126570301
"172",8203.94209053009
"173",7845.51913748192
"174",7966.19389510516
"175",7660.22200257882
"176",7207.43644681157
"177",7101.66282054345
"178",7015.19107824032
"179",6953.29329694343
"180",7124.61255458422
